Item No.,Section,Description,Unit,Bill Qty,Unit Rate (ETB),Bill Amount (ETB),Executed Qty,Executed Amount (ETB),Completion %,Remarks
1,A SUB-STRUCTURE,EXCAVATION & EARTH WORKS,,,,,,,,
1.1,A SUB-STRUCTURE,BULK EXCAVATION IN ORDINARY,,,,,,,,
,A SUB-STRUCTURE,a) Soil to depth not exceeding  1500mm from  reduced level.,m3,334.00,481.00,"160,654.00",50.74,"24,405.41",15.2%,In Progress
,A SUB-STRUCTURE,b) Ditto as a but  from 1500mm to 3000mm from reduced level.,m3,334.00,534.00,"178,356.00",324.84,"173,462.08",97.3%,In Progress
,A SUB-STRUCTURE,c) Ditto as a but  from 3000mm to 4500mm from reduced level.,m3,334.00,600.00,"200,400.00",0.00,0.00,0.0%,
,A SUB-STRUCTURE,d) Ditto as a but  from 4500mm to 6000mm from reduced level.,m3,334.00,686.00,"229,124.00",0.00,0.00,0.0%,
,A SUB-STRUCTURE,e) Ditto as a but  from 6000mm to required depth (13.5m) from reduced level.,m3,334.00,"1,372.00","458,248.00",0.00,0.00,0.0%,
,A SUB-STRUCTURE,Fill,,,,,,,,
1.2,A SUB-STRUCTURE,"Granular selected & imported backfill under foundation, slab and around retaining wall. Compaction shall be made in layers of 200mm with roller and by sprinkling water to achieve the required proctor density, which is (95% of the maximum dry Density).",m3,957.03,"2,028.00","1,940,856.84",0.00,0.00,0.0%,
1.3,A SUB-STRUCTURE,Cart Away,,,,,,,,
,A SUB-STRUCTURE,Cart away surplus excavated material to a distance not exceeding 10kms. The contractor is responsible for permission from relevant authorities.,m3,"1,670.00",469.00,"783,230.00","1,392.15","652,916.16",83.4%,In Progress
1.4,A SUB-STRUCTURE,Massonry,,,,,,,,
,A SUB-STRUCTURE,Provide & construct Hard basaltic or equivalent stone masonry wall bedded in cement sand mortar (1:3) in full joints as per the design.,m3,58.80,"6,165.00","362,502.00",0.00,0.00,0.0%,
1.5,A SUB-STRUCTURE,Demolishing and Clearing of site to a depth not exceeding 20cm from natural ground surface and cartawy the surples material,LS,1.00,"91,390.00","91,390.00",1.00,"91,390.00",100.0%,Complete
1.6,A SUB-STRUCTURE,25cm Hard Core,m2,179.41,910.00,"163,263.10",0.00,0.00,0.0%,
,,,,,,,,,,
2,A SUB-STRUCTURE,CONCRETE WORK,,,,,,,,
2.1,A SUB-STRUCTURE,"50mmn lean concrete quality C-5, with minimum cement content 150kg of cement/m3, of concrete.",m2,150.00,584.00,"87,600.00",0.00,0.00,0.0%,
,A SUB-STRUCTURE,Reinforced concrete in,,,,,,,,
2.2,A SUB-STRUCTURE,"Reinforced concrete in C-40 with minimum cement content of 450Kg./m3, filled and vibrated into formwork and around reinforcement bar. Formwork and reinforcement bar measured separately. In column and shear wall",,,,,,,,
a,A SUB-STRUCTURE,in Column and Sheer wall,m3,79.20,"16,096.00","1,274,803.20",0.00,0.00,0.0%,
2.3,A SUB-STRUCTURE,"Reinforced concrete quality C-30, 400 kg of cement/m3) filled in to formwork and vibrated around, rod reinforcement (formwork and reinforcement measured separately).in slab and beam stair",,,,,,,,
,A SUB-STRUCTURE,a) in footing & pad,m3,95.53,"14,710.00","1,405,246.30",0.00,0.00,0.0%,
,A SUB-STRUCTURE,b) in beam and slab,m3,117.04,"14,710.00","1,721,658.40",0.00,0.00,0.0%,
,A SUB-STRUCTURE,c) in 1st basement floor slab,m2,182.34,"1,471.00","268,222.14",0.00,0.00,0.0%,
,A SUB-STRUCTURE,d) in retaining wall,m3,216.89,"14,710.00","3,190,451.90",0.00,0.00,0.0%,
,A SUB-STRUCTURE,c) in Stair,m3,6.26,"14,710.00","92,084.60",0.00,0.00,0.0%,
2.4,A SUB-STRUCTURE,"Provide, cut and fix in position sawn zigba wood or steel formwork which ever appropriate",,,,,,,,
a,A SUB-STRUCTURE,To footing,m2,84.21,"1,342.00","113,009.82",0.00,0.00,0.0%,
b,A SUB-STRUCTURE,To Column and Shear wall,m2,467.37,"1,342.00","627,210.54",0.00,0.00,0.0%,
c,A SUB-STRUCTURE,To beam and slab,m2,637.61,"1,342.00","855,672.62",0.00,0.00,0.0%,
d,A SUB-STRUCTURE,To Retaining wall,m2,"1,445.96","1,342.00","1,940,478.32",0.00,0.00,0.0%,
e,A SUB-STRUCTURE,ToStair,m2,41.96,"1,342.00","56,310.32",0.00,0.00,0.0%,
2.5,A SUB-STRUCTURE,Reinforcement Bar,,,,,,,,
,A SUB-STRUCTURE,Use grade 75 (S 500) based on ASTM A615 (Shall have minimum yield Strength of 500mPA) for re-bar greater than 14mm,,,,,,,,
a,A SUB-STRUCTURE,Dia 6 mm deformed bar,Kg,,223.56,,0.00,0.00,0.0%,
b,A SUB-STRUCTURE,Dia 8 mm deformed bar,Kg,"9,525.10",206.99,"1,971,600.45",0.00,0.00,0.0%,
c,A SUB-STRUCTURE,Dia 10 mm deformed bar,Kg,"11,428.40",206.99,"2,365,564.52",0.00,0.00,0.0%,
d,A SUB-STRUCTURE,Dia 12 mm deformed bar,Kg,"16,052.00",206.99,"3,322,603.48",0.00,0.00,0.0%,
e,A SUB-STRUCTURE,Dia 14 mm deformed bar,Kg,"2,018.60",206.99,"417,830.01",0.00,0.00,0.0%,
f,A SUB-STRUCTURE,Dia 16 mm deformed bar,Kg,241.50,206.99,"49,988.09",0.00,0.00,0.0%,
g,A SUB-STRUCTURE,Dia 20 mm deformed bar,Kg,"8,576.40",206.99,"1,775,229.04",0.00,0.00,0.0%,
h,A SUB-STRUCTURE,Dia 24 mm deformed bar,Kg,492.80,206.99,"102,004.67",0.00,0.00,0.0%,
,,,,,,,,,,
1,B SUPER STRUCTURE,CONCRETE WORK,,,,,,,,
1.1,B SUPER STRUCTURE,"Reinforced concrete in C-40 with minimum cement content of 450Kg/m3, filled and vibrated into formwork. and around reinforcement bar. Formwork and reinforcement bar measured separately. In column and shear wall",,,,,,,,
,B SUPER STRUCTURE,a) In Columns & Shear walls,m3,239.76,"16,096.00","3,859,176.96",0.00,0.00,0.0%,
1.2,B SUPER STRUCTURE,"Reinforced concrete quality C-30, 400 kg of cement/m3 filled in to formwork and vibrated around rod reinforcement (formwork and reinforcement measured separately).in slab and beam Stair",,,,,,,,
a,B SUPER STRUCTURE,0n Floor Beam & Slabs,m3,471.80,"14,710.00","6,940,178.00",0.00,0.00,0.0%,
b,B SUPER STRUCTURE,On Staircase,m3,35.80,"14,710.00","526,618.00",0.00,0.00,0.0%,
1.3,B SUPER STRUCTURE,"Provide, cut and fix in position sawn zigba wood or  steel  formwork which ever appropriate",,,,,,,,
a,B SUPER STRUCTURE,To beam and slab,m2,"3,010.89","1,342.00","4,040,614.38",0.00,0.00,0.0%,
b,B SUPER STRUCTURE,To Column and Shear wall,m2,"1,479.81","1,342.00","1,985,905.02",0.00,0.00,0.0%,
c,B SUPER STRUCTURE,To Staircase,m2,272.16,"1,342.00","365,238.72",0.00,0.00,0.0%,
1.4,B SUPER STRUCTURE,Reinforcement Bar,,,,,,,,
,B SUPER STRUCTURE,Use grade 75 (S 500) based on ASTM A615 (Shall have minimum yield Strength of 500mPA) for re-bar greater than 14mm,,,,,,,,
a,B SUPER STRUCTURE,Dia 6 mm deformed bar,Kg,,223.56,,0.00,0.00,0.0%,
b,B SUPER STRUCTURE,Dia 8 mm deformed bar,Kg,"24,885.52",206.99,"5,151,053.78",0.00,0.00,0.0%,
c,B SUPER STRUCTURE,Dia 10 mm deformed bar,Kg,"30,126.34",206.99,"6,235,851.12",0.00,0.00,0.0%,
d,B SUPER STRUCTURE,Dia 12 mm deformed bar,Kg,"13,375.00",206.99,"2,768,491.25",0.00,0.00,0.0%,
e,B SUPER STRUCTURE,Dia 14 mm deformed bar,Kg,"1,493.10",206.99,"309,056.77",0.00,0.00,0.0%,
f,B SUPER STRUCTURE,Dia 16 mm deformed bar,Kg,"4,945.70",206.99,"1,023,710.44",0.00,0.00,0.0%,
g,B SUPER STRUCTURE,Dia 20 mm deformed bar,Kg,"27,403.33",206.99,"5,672,215.28",0.00,0.00,0.0%,
h,B SUPER STRUCTURE,Dia 24 mm deformed bar,Kg,"8,575.18",206.99,"1,774,976.51",0.00,0.00,0.0%,
,,,,,,,,,,
,,GRAND TOTAL,,,,"66,858,678.58",,"942,173.65",1.4%,
